Tempo (s),PWM,RPM
8.15,255.0,1800.0
8.159,255.0,1770.0
8.169,255.0,1800.0
8.179,255.0,1800.0
8.189,255.0,1800.0
8.199,255.0,1770.0
8.209,255.0,1800.0
8.219,255.0,1800.0
8.229,255.0,1800.0
8.239,255.0,1770.0
8.249,255.0,1830.0
8.259,255.0,1770.0
8.269,255.0,1800.0
8.279,255.0,1800.0
8.289,255.0,1800.0
8.299,255.0,1800.0
8.309,255.0,1800.0
8.32,255.0,1800.0
8.329,255.0,1800.0
8.339,255.0,1800.0
8.349,255.0,1800.0
8.359,255.0,1800.0
8.369,255.0,1800.0
8.379,255.0,1830.0
8.389,255.0,1800.0
8.399,255.0,1800.0
8.409,255.0,1800.0
8.419,255.0,1800.0
8.429,255.0,1800.0
8.439,255.0,1800.0
8.449,255.0,1800.0
8.459,255.0,1800.0
8.469,255.0,1830.0
8.479,255.0,1800.0
8.489,255.0,1830.0
8.499,255.0,1800.0
8.509,255.0,1800.0
8.519,255.0,1830.0
8.529,255.0,1800.0
8.539,255.0,1800.0
8.549,255.0,1800.0
8.559,255.0,1800.0
8.569,255.0,1800.0
8.579,255.0,1800.0
8.589,255.0,1770.0
8.599,255.0,1800.0
8.609,255.0,1770.0
8.62,255.0,1800.0
8.629,255.0,1770.0
8.639,255.0,1770.0
8.649,255.0,1770.0
8.659,255.0,1770.0
8.669,255.0,1800.0
8.679,255.0,1770.0
8.689,255.0,1800.0
8.699,255.0,1770.0
8.709,255.0,1800.0
8.719,255.0,1800.0
8.729,255.0,1800.0
8.739,255.0,1800.0
8.749,255.0,1800.0
8.759,255.0,1770.0
8.769,255.0,1800.0
8.779,255.0,1800.0
9.049,255.0,1770.0
9.059,255.0,1800.0
9.069,255.0,1800.0
9.079,255.0,1770.0
9.089,255.0,1800.0
9.099,255.0,1770.0
9.109,255.0,1800.0
9.119,255.0,1800.0
9.129,255.0,1770.0
9.139,255.0,1800.0
9.149,255.0,1800.0
9.159,255.0,1770.0
9.169,255.0,1800.0
9.179,255.0,1800.0
9.189,255.0,1770.0
9.199,255.0,1800.0
9.209,255.0,1770.0
9.219,255.0,1800.0
9.229,255.0,1770.0
9.239,255.0,1800.0
9.249,255.0,1800.0
9.26,255.0,1770.0
9.269,255.0,1800.0
9.279,255.0,1770.0
9.289,255.0,1770.0
9.299,255.0,1800.0
9.309,255.0,1770.0
9.319,255.0,1800.0
9.329,255.0,1770.0
9.339,255.0,1770.0
9.349,255.0,1800.0
9.359,255.0,1770.0
9.369,255.0,1770.0
9.379,255.0,1770.0
9.389,255.0,1770.0
9.399,255.0,1770.0
9.409,255.0,1770.0
9.419,255.0,1800.0
9.43,255.0,1740.0
9.439,255.0,1800.0
9.449,255.0,1740.0
9.459,255.0,1710.0
9.469,255.0,1740.0
9.479,255.0,1710.0
9.489,255.0,1740.0
9.499,255.0,1710.0
9.509,255.0,1710.0
9.519,255.0,1740.0
9.529,255.0,1710.0
9.539,255.0,1710.0
9.549,255.0,1710.0
9.559,255.0,1740.0
9.569,255.0,1710.0
9.579,255.0,1740.0
9.589,255.0,1710.0
9.6,255.0,1710.0
9.609,255.0,1740.0
9.619,255.0,1710.0
9.629,255.0,1740.0
9.639,255.0,1710.0
9.649,255.0,1740.0
9.659,255.0,1740.0
9.669,255.0,1710.0
9.679,255.0,1740.0
9.689,255.0,1710.0
9.699,255.0,1740.0
9.709,255.0,1710.0
9.719,255.0,1740.0
9.729,255.0,1740.0
9.739,255.0,1740.0
9.749,255.0,1740.0
9.759,255.0,1740.0
9.769,255.0,1740.0
9.779,255.0,1740.0
9.789,255.0,1740.0
9.799,255.0,1740.0
9.809,255.0,1770.0
9.819,255.0,1740.0
9.829,255.0,1770.0
9.839,255.0,1770.0
9.849,255.0,1740.0
9.859,255.0,1770.0
9.869,255.0,1770.0
9.879,255.0,1770.0
9.889,255.0,1770.0
9.9,255.0,1770.0
9.909,255.0,1740.0
9.919,255.0,1770.0
9.929,255.0,1800.0
9.939,255.0,1770.0
9.949,255.0,1770.0
9.959,255.0,1770.0
9.969,255.0,1770.0
9.979,255.0,1770.0
9.989,255.0,1800.0
9.999,255.0,1770.0
10.009,255.0,1770.0
10.019,255.0,1800.0
10.029,255.0,1770.0
10.039,255.0,1770.0
10.049,255.0,1770.0
10.059,255.0,1800.0
10.07,255.0,1770.0
10.079,255.0,1770.0
10.089,255.0,1800.0
10.099,255.0,1800.0
10.109,255.0,1800.0
10.119,255.0,1800.0
10.129,255.0,1800.0
10.139,255.0,1830.0
10.149,255.0,1800.0
10.159,255.0,1830.0
10.169,255.0,1830.0
10.179,255.0,1830.0
10.189,255.0,1860.0
10.199,255.0,1860.0
10.209,255.0,1830.0
10.219,255.0,1860.0
10.229,255.0,1860.0
10.24,255.0,1860.0
10.249,255.0,1860.0
10.259,255.0,1890.0
10.269,255.0,1830.0
10.279,255.0,1890.0
10.289,255.0,1860.0
10.299,255.0,1860.0
10.309,255.0,1860.0
10.319,255.0,1860.0
10.329,255.0,1860.0
10.339,255.0,1860.0
10.349,255.0,1860.0
10.359,255.0,1860.0
10.369,255.0,1860.0
10.379,255.0,1860.0
10.389,255.0,1890.0
10.399,255.0,1860.0
10.409,255.0,1860.0
10.419,255.0,1860.0
10.429,255.0,1860.0
10.439,255.0,1860.0
